,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O
2,0.578186679897886,0.921428709570944,0.0784319014553549,0.608567824095011,0.411991019798706,0.363630818511453,0.961169879117752,0.729491349523304
429,0.480921733645324,0.858969564894554,0.849269412164173,0.446061925797396,0.631239899821571,0.914470784539397,0.00757377700884193,0.313455521418956
45815,0.459409834882825,0.862780525558138,0.821711762272835,0.498339666972699,0.483882537918068,0.546998715062986,0.0982467312415862,0.252802712345641
2060,0.307150481968674,0.707101800241391,0.550265997239091,0.596958749270673,0.517043848912022,0.490140966062961,0.656368714340112,0.402322575714349
8,0.505749493558632,0.908377083307419,0.483521156712802,0.520874766870167,0.73423997976709,0.112709601573505,0.78704861964317,0.647935136191463
63,0.883241171341656,0.987892966562812,0.566212206558221,0.429143869766317,0.0847683220122297,0.136648402490908,0.58886668722642,0.393796038833455
650,0.949596838140122,0.960341861003267,0.721957425818416,0.208831215006236,0.611561680619602,0.151381649700227,0.938191312929614,0.737499576128803
3589,0.801334179703742,0.97961715785733,0.958843278539918,0.164330186044657,0.919505164966038,0.968446834464735,0.0756134209339415,0.62438495681379
642,0.23699626239264,0.704766823035477,0.476626117021877,0.707753276343299,0.888236167617236,0.777903237363254,0.371026233432435,0.259426702334272
837,0.205409304733767,0.988349895459611,0.0599908712142316,0.79760875119009,0.0486749183085278,0.778456775546681,0.908488745475671,0.189694087922275
4347,0.356900056016197,0.752891800788748,0.633418132862506,0.451901888116815,0.254285899346419,0.805341966119254,0.639550448381658,0.950571761615634
4471,0.416365203616621,0.79602069871837,0.607244641861535,0.585873259421962,0.677673123798765,0.902636618009887,0.133906386851353,0.494508623404788
3220,0.219883865651378,0.690537007006533,0.544778877615947,0.710228259803419,0.632436841546894,0.587040594404036,0.0568188904894928,0.467790441213954
3135,0.0983972006760455,0.626368938839353,0.263946374556608,0.740940496676373,0.031565376834414,0.456040914623869,0.336492018554416,0.890262607349535
9333,0.206584842835437,0.686234627625725,0.624412934875513,0.58079301095492,0.559974795154989,0.523261498124538,0.399139244712018,0.743691943290193
5437,0.146337437046273,0.688896563941296,0.663272757777871,0.623199367150099,0.441252441816702,0.459270783956517,0.0364141573190193,0.655224147577188
4363,0.248502185035459,0.697942136084065,0.552651094790097,0.642626418733692,0.0891161331019807,0.563877693895927,0.187698667520962,0.49713268115459
2640,0.61421037271603,0.933276757578658,0.629147851597129,0.363012012521063,0.552829734027833,0.164420989595889,0.789913552154083,0.84023776236643
3141,0.172204598412555,0.655017677818043,0.055748406615613,0.836147382984112,0.575729997539053,0.476294470601009,0.494050440725379,0.638195931758408
4610,0.637365640475778,0.840928982074927,0.723088871933547,0.435722903912107,0.491802642144208,0.793545477654635,0.233096722688336,0.905409562709669
2844,0.903278957599748,0.954277141264088,0.758662967946158,0.271350091573707,0.326500782209623,0.325104349005774,0.516244746633481,0.923334958576432
2514,0.281420334981612,0.963593352311127,0.49146980942646,0.661265103943512,0.629962201593506,0.64337077217219,0.987645875303128,0.0200441250960992
367,0.586030154081452,0.83773231346668,0.693618794768607,0.36163845739703,0.283872496825242,0.847460664360085,0.747765310755572,0.538401481233152
12109,0.0847948965243243,0.818836842458909,0.714359822486178,0.435911388449799,0.284415658881842,0.671496600790567,0.422040818291313,0.959719450392287
755,0.523577953296433,0.812746558317993,0.73720713270926,0.63869031879527,0.220397280890104,0.857787751186685,0.122044026982902,0.0715561716985708
7319,0.551998933853051,0.927430539628503,0.504522348810224,0.664901620693877,0.856697698387484,0.0331874121544744,0.147535722107969,0.340122003449418
1427,0.321613308303207,0.943854506338039,0.49493004574013,0.52183005813078,0.945135863826544,0.148356383253572,0.650690563137822,0.806711956272759
5247,0.392738229357993,0.975191983283347,0.613169830492087,0.554352703671487,0.505503073287199,0.539750756901614,0.710251137661419,0.125328419319613
2995,0.826676099080343,0.932015158204519,0.16502237160389,0.563027628218461,0.073955172853614,0.231250597223781,0.855658279719966,0.773091536717594
5025,0.917293880858086,0.825291733904923,0.484714017838525,0.461247627120507,0.127605523641186,0.336655827829751,0.516551010239893,0.916203706638168
9137,0.328573934592824,0.970764815837935,0.56434127736924,0.560890408338256,0.752569921403964,0.0723161014737882,0.118086751114397,0.729838778585735
6015,0.337318599612857,0.970590239198593,0.30258185416478,0.748196906978372,0.756909957217201,0.332717981304917,0.528823939538415,0.0830089962223658
7810,0.722959965323719,0.784834664747371,0.601833572783339,0.536526378293245,0.113844834063012,0.454401760739106,0.0122075687574442,0.9871459363584
3404,0.13173254316458,0.627976297434559,0.0756991826630303,0.739826106509751,0.0943941085801423,0.705219928225303,0.87363027092456,0.995983886892613
20,0.095734449484993,0.976081718069951,0.419868919709168,0.724175811581051,0.168148553946792,0.82253277637891,0.582813714388127,0.0978797973304419
16897,0.713973988556279,0.831178789715315,0.38917264153489,0.591981146192382,0.434484612751398,0.261420476139295,0.357216843895772,0.802764606646196
5583,0.224797818275604,0.977023997329185,0.202948534276981,0.796742614119686,0.597201303751751,0.378820717103715,0.216213013385216,0.119815131898853
16642,0.587464910110291,0.975437121994531,0.906231424964573,0.386468854141874,0.244226218316382,0.661277699354705,0.0447281554612209,0.251862328986566
221,0.603595364766274,0.953156463105948,0.853316137475858,0.296425633836621,0.653131600945224,0.8119184883831,0.338217000490515,0.388909306601168
9424,0.66354827153416,0.729211782425353,0.557855210195839,0.522342253155834,0.703963379293454,0.825282088151219,0.606935459416526,0.488684543428588
10401,0.142953307327057,0.885044629139226,0.321399419095867,0.648416113764098,0.854929464727828,0.979596001504824,0.162712335524092,0.76092693694891
485,0.156967043980189,0.930576552953665,0.0025188187518257,0.648346972906596,0.619016306495479,0.768739539950873,0.95005505931245,0.907364642077232
8308,0.000590680560505057,0.773840591980918,0.0278640351617644,0.738561554427788,0.987099460226235,0.0782205181987249,0.707169131631783,0.897284683211281
138,0.324950277127855,0.979606178598616,0.213182800455093,0.721666863003269,0.342619068899195,0.945616430308115,0.939109503102403,0.152969051825564
1879,0.984933186868251,0.977041879889089,0.870150185953709,0.105586660327063,0.76255440269467,0.777158647914864,0.438578092246623,0.720889491630953
14834,0.351714491841513,0.883433034865014,0.748255909592451,0.476086090023128,0.469168493717918,0.681562875265474,0.0706282169562158,0.991681706646483
19110,0.280830971937068,0.745114972562458,0.618386778180417,0.447764872276026,0.146050970871107,0.422098101328556,0.796763301550178,0.956513639217544
207,0.0137832100947135,0.978350093501338,0.375797410779428,0.645712814662218,0.941160125074445,0.529937362177672,0.0304780222796614,0.841181854275381
4374,0.381757552875655,0.666391964971825,0.337941399946318,0.674714347030886,0.90193189931493,0.633299834328067,0.673745060394445,0.611449040114599
2205,0.571413335568626,0.744330537331211,0.660274294051523,0.441930201072893,0.00458190508856745,0.607787472966611,0.683229965935683,0.893315062830654
4145,0.46869262943054,0.92351666014083,0.618988071308905,0.468938058517324,0.427652542049715,0.236369426566849,0.310179414912588,0.971442855186224
8021,0.163324017679514,0.995195718454136,0.149180025943612,0.670699938687178,0.444817409043053,0.452820422595057,0.231324041162788,0.765018065886421
1549,0.362548026131044,0.980582641840285,0.116577276154342,0.764521571803957,0.343401470578444,0.540879722725776,0.8448947240897,0.0646705037138523
2154,0.269038878843284,0.80904945859789,0.63778903218376,0.546978861703952,0.170534992445394,0.932788312377443,0.53628266980062,0.318777198869321
711,0.624982215843568,0.891438850499464,0.842223386012886,0.378432613162865,0.694153214198997,0.961777836034716,0.0898313643707376,0.567851439731296
2800,0.100042063582324,0.914114112847595,0.103178822041897,0.845404496125256,0.0354748596818819,0.982421497966227,0.546648537510105,0.154292396539869
6890,0.634231510349818,0.742652840482108,0.538666575216124,0.56265512515083,0.637430157697077,0.89071997346316,0.0921797852930439,0.883068783486731
808,0.118343332876562,0.787626704302228,0.18433093865017,0.689425898619422,0.894830625010807,0.910492786259421,0.944102132110556,0.744630906897784
1018,0.12370437220551,0.998690818785325,0.234617952173953,0.650905676229357,0.305917876062229,0.717446486221701,0.126863621306619,0.984965085029226
15888,0.304946370772494,0.997952350741181,0.334717369982802,0.74127442602583,0.533033541732484,0.814182086430837,0.4037203669795,0.0879445149197761
12340,0.212001492014209,0.790889842561918,0.259083395602888,0.699783015798195,0.999847502343366,0.967116344869304,0.742270799370696,0.538240063240421
22934,0.866905645330474,0.746749146359229,0.33263293285928,0.625477754258295,0.392507930625168,0.24647732809065,0.631318877505301,0.65937645390315
7936,0.294257954099095,0.656869989110908,0.268838468940142,0.752287668307445,0.829880424635584,0.817287879824503,0.893896023788289,0.401795011234782
1898,0.161376595200226,0.940684003217722,0.0551080902694957,0.67382619056861,0.153248165523645,0.593587961087817,0.502681474181163,0.995824363376645
4487,0.101851813645845,0.778666124926628,0.553169434566588,0.618995521140469,0.790082668140078,0.692764109094466,0.208981815707646,0.71068182229658
2287,0.0153933359766055,0.887826669774867,0.423469409946798,0.687565871992693,0.97862859042065,0.780688414559387,0.106849763397668,0.374648662176807
174,0.0365480108917315,0.786704414840748,0.187293424606309,0.724918873766303,0.922177676817731,0.941064231001897,0.394658497456236,0.804879421332608
10010,0.286152257252671,0.675643136782009,0.55004878908944,0.609358353130054,0.252197405622689,0.479848080146314,0.0829058485227386,0.93909240907953
12567,0.567027477687553,0.862657719413337,0.221582277011217,0.62269302450565,0.501473022341104,0.033504100428153,0.967304714004068,0.659090466213292
94,0.233007664176289,0.934702450514123,0.45716826571241,0.581034960745657,0.901233375168928,0.698739179626186,0.812315068316085,0.385709851579891
8765,0.0312229883299829,0.987016606510004,0.0252165967614878,0.781696730340858,0.208238136869046,0.796686842277507,0.420933542369891,0.447500798114294
6130,0.301209910006231,0.980910117082131,0.527204112793924,0.730916793738532,0.399920682103562,0.328801716014324,0.326380946976991,0.0605007532129996
2931,0.755048209049004,0.917651418741925,0.680850768492857,0.329211500130583,0.820225968019406,0.155638568387204,0.64044173715858,0.746081679901186
3721,0.547477303931249,0.827540591493506,0.705378502257416,0.425140988947135,0.463694419344464,0.908389196699595,0.36104397093334,0.379302689774919
10228,0.499754122938314,0.889910423471845,0.646484805830886,0.413658049346271,0.461192338864357,0.489911072387251,0.682870124540542,0.934649835293421
6321,0.30185004764379,0.926315798814028,0.0461269118714966,0.634905538250309,0.701133120457918,0.613434854461164,0.327026201105781,0.85529562125893
1741,0.117348999603293,0.612335636132647,0.136994326574149,0.746605308743957,0.590464138347627,0.312204607963777,0.385119295167729,0.967616704730815
619,0.510982630557038,0.968539767991814,0.829566827822694,0.455181785333261,0.179924804116508,0.56689488144359,0.421333334831002,0.0577641522619194
789,0.189861277214357,0.779434949513892,0.360101062687127,0.631882377643293,0.94268425450143,0.0384195899940389,0.852521008271024,0.878271059959499
7461,0.0376834819088318,0.963678910525225,0.0844922040491085,0.734607666429947,0.36180111900782,0.664330028354439,0.378258772632766,0.834757859953788
5956,0.453847237337704,0.742464776366516,0.584820995959743,0.518413502014389,0.170424234573583,0.537299062031225,0.501287627602496,0.616018674781154
17020,0.474913281467606,0.948370087871515,0.0620852273122184,0.662841928872184,0.233307319301256,0.890701050891995,0.334293616295599,0.604974172084629
2229,0.0937204234405294,0.940712735866319,0.0453048087761852,0.737782282347678,0.524120284305463,0.0170372268134722,0.602322595447776,0.71728139052415
10863,0.0374214217470786,0.640850883196394,0.565990385976057,0.623272901792735,0.505139771686932,0.411106437094132,0.282844528395148,0.91439331101499
7761,0.725659262018985,0.831508042252847,0.777790019764526,0.503063215964302,0.0405988034456836,0.963967070185452,0.10971633164609,0.216712442236129
8940,0.117592427424462,0.984704960953813,0.0704457116220627,0.734288692979723,0.844130750411165,0.223995850099967,0.194848522407187,0.48664268591104
4545,0.917737669752244,0.926580628872314,0.855785524652797,0.23353449712009,0.264565572433337,0.998549979563458,0.0736744337450411,0.623148155444226
2856,0.859386410926177,0.843261213170848,0.812080081891436,0.264911073240615,0.864604571168262,0.950516677887778,0.0248374017673752,0.952676422556925
9465,0.317124389933692,0.989579201417444,0.135067969844841,0.616869214407597,0.223894674751906,0.414793791160484,0.736421902162875,0.940979966456846
17730,0.227952124131138,0.814911510374128,0.65569390851597,0.55245638046591,0.131255576675592,0.926463283516948,0.095730937519567,0.642289244593898
1694,0.417125244544075,0.958626871998857,0.106164095326135,0.704897770059857,0.105289689047589,0.897441980793384,0.708954087614179,0.357937942674616
8466,0.728032633489603,0.858080389187606,0.765886551327691,0.343583988927962,0.0526354926710066,0.676811572136716,0.558805777797931,0.817481020246872
14610,0.70859245095796,0.807265145850812,0.620119433501069,0.488395035618441,0.491027743836149,0.590147160681771,0.371210043357842,0.604788226668146
2689,0.243300976625682,0.763687293824896,0.176728569737708,0.741116893754102,0.445797570233044,0.161013282313617,0.436008754035519,0.760063534257159
4088,0.468512691190813,0.982006363013177,0.293073214838281,0.662635510139723,0.652350768469411,0.885237913389568,0.212836027948525,0.226994597936739
4205,0.231496203716365,0.885161043341836,0.56445574597082,0.552095285911713,0.579553137969052,0.240863955681191,0.11403974494292,0.963108807481315
13452,0.123683675039707,0.87902771533447,0.637629850038113,0.52235751794287,0.119706600975798,0.305005256288818,0.0300308102852815,0.996824838000345
13807,0.950484857759587,0.904784411049299,0.431778723243846,0.481508767453632,0.226459241671125,0.298384493442164,0.986342718010922,0.489906269427973
9756,0.480456705983769,0.767526699186004,0.466562289403555,0.575687104541277,0.634462152098874,0.715668236644685,0.755631598814091,0.594865915596295
7278,0.442618523341033,0.974365517383377,0.186029892012427,0.659429226586042,0.0238299598230497,0.787986502757465,0.170493838666639,0.709924994279371
14214,0.554266898734329,0.738723075664499,0.454118373009117,0.682296900336477,0.633778475534252,0.850432179536081,0.922977001417924,0.162214359428754
2808,0.0350049342892076,0.772182018186035,0.122869758092881,0.824629491401372,0.903744986700126,0.148865537093178,0.336873954064808,0.561708255075649
18992,0.886636364832276,0.657829034331417,0.297848145675438,0.574077797241311,0.576577429907824,0.432810245048115,0.978586039123311,0.669044794169459
10646,0.234960850990631,0.967433201560942,0.259129375417009,0.66275252470016,0.576949573882183,0.963488226044644,0.605105562866851,0.494471461585956
14383,0.374107179826874,0.923984303079487,0.724483836345053,0.543587499398889,0.420087838576486,0.359963184231421,0.0986770242421239,0.321136626059574
1745,0.585273826105823,0.996540667753265,0.67243893546344,0.391067783384533,0.349518394123162,0.0906166143882388,0.526949140896808,0.765086434390372
4241,0.476162488493608,0.8863057164776,0.460133569639781,0.628699269214966,0.371117315474937,0.135356388022853,0.0452864812551616,0.763632323013602
21392,0.325492886066159,0.571841223956497,0.303654989716337,0.667920957669805,0.36366400167487,0.570507002860866,0.867298364768379,0.971176324437812
20811,0.137698571019568,0.604259688892552,0.503875338448923,0.589447959467124,0.578457258942737,0.368054575191694,0.984341607551346,0.760818240012855
990,0.0072968604106584,0.998730697496507,0.291263633499458,0.738344748084391,0.551824965483505,0.465906932137725,0.0632399739212947,0.436821932600149
16110,0.591189764023565,0.710184703934179,0.226064765484288,0.66635230865162,0.800700706954338,0.365926007071249,0.245454020060963,0.664116711161853
6339,0.223744284181114,0.976274930150553,0.233135389019078,0.762596741024018,0.180057761560156,0.254958335424939,0.0918089406730744,0.442787934723823
9406,0.364755718037577,0.940040905502022,0.271669035060745,0.61155342415332,0.629574764830628,0.93686946429836,0.242179205544562,0.97793700740167
24707,0.65455603408375,0.760606123982524,0.561811441838017,0.583034270752017,0.782038854253951,0.423405004630601,0.360076206829813,0.470907037208831
316,0.0143003862566758,0.987277326403491,0.00931953835881862,0.844938566716693,0.52832951634084,0.619973486930957,0.759400683707187,0.17419318373432
6958,0.855332693226333,0.790374536354223,0.545130554764205,0.453489276164997,0.542817916693701,0.580503471470604,0.697440719133719,0.416760171768933
7231,0.02706588738704,0.926782061136611,0.345004395590874,0.712176132967387,0.952840672912404,0.130171612899304,0.122656968493634,0.569377972295635
186,0.20715808604019,0.942482565112668,0.595041615758054,0.719685724184121,0.0324746513119578,0.904357267383646,0.0125718247611115,0.0288376900673197
1887,0.22440293564266,0.880956992304684,0.540082740560048,0.488477754412857,0.601193393799922,0.558521723741894,0.976110037468914,0.689616393958454
9502,0.849181157369536,0.814718732565503,0.683764759951286,0.398485851189473,0.635478500447185,0.391193265803232,0.265570677541053,0.816408987280756
2726,0.976512932110929,0.998143575347839,0.664665232557566,0.32486862745835,0.23079689363078,0.612383890104088,0.43854205235983,0.296175426199319
6528,0.453912249745651,0.731662043134028,0.380516592346241,0.737108093848175,0.430346354922408,0.724149130574912,0.711876459456597,0.147181079866665
5964,0.21264799944408,0.7243457025057,0.533539128995733,0.557673389281314,0.103828845942725,0.798464684110507,0.500133588761379,0.758728412956166
3565,0.960418821157872,0.969686678568563,0.444281072621926,0.534293696567764,0.25470379811623,0.433737858964861,0.956553834134225,0.040652018302129
16546,0.323282321072887,0.665528678657948,0.158598206053621,0.721433660290835,0.436500712239301,0.212919526307117,0.963340973608688,0.803237390055226
5118,0.374362952423736,0.953279378976996,0.642206003281597,0.368535654349718,0.271516184998836,0.358477044256312,0.880138020815718,0.817246426881436
3639,0.403134928895064,0.741147792809431,0.280676705609122,0.791816584273731,0.628013051571355,0.502798463235912,0.846244649248226,0.150479253569097
3975,0.0464946242341876,0.88957606204518,0.601081581289058,0.56392234882962,0.542324274449142,0.808305051749229,0.0829430768092117,0.998531493651934
1675,0.606404935892858,0.98268557334015,0.726610499944943,0.311837787098967,0.579004117010887,0.691280857959307,0.754162186832221,0.472357697495223
4904,0.238106975499858,0.757731335611989,0.471117234251481,0.661853948896646,0.524811824585366,0.972248216223423,0.0144624297678047,0.592035589115493
23925,0.752387887127353,0.959795153576254,0.840387543546694,0.360245388103749,0.0545072015491376,0.732730306475548,0.0895839493413424,0.435446617694917
6513,0.136302717746499,0.982207345008453,0.142193766079782,0.818978183254399,0.0239060344307826,0.610671310976169,0.384787888786257,0.308486607201019
6244,0.14979270368076,0.99616813552423,0.4381012074229,0.714582525455934,0.661346257223362,0.529305984634828,0.129241571803415,0.193144045710778
448,0.098328200787831,0.963998745847955,0.35623250934179,0.640433342087483,0.715115637812726,0.188784453518814,0.0437816645255915,0.786610520827923
7537,0.41959496922017,0.762741352733335,0.555709701652978,0.517693337682224,0.454162673105073,0.860570750792971,0.789322419372069,0.321028156336989
91,0.0553753820505964,0.938328356927644,0.531313610443523,0.623987249417269,0.0546054806088411,0.820582081528176,0.184592919052342,0.393982708992498
20249,0.967094488078275,0.90738065893436,0.825621490693156,0.158382624958043,0.827392887808745,0.463221041864716,0.371749604445496,0.933694461678064
20822,0.155732724911877,0.970986532056589,0.417186205666823,0.64767393964329,0.963305645747749,0.196823964028223,0.448877741667456,0.486657311255799
6672,0.2388465424457,0.743472317659716,0.560307808446369,0.708624430153702,0.0165341463610329,0.706872209477838,0.362461634492477,0.15876134334233
2545,0.0793846804944456,0.709004681628432,0.0905787490978261,0.86991201277683,0.0518529238296746,0.690772715548647,0.443198527436223,0.461694395687476
5677,0.0733325483296042,0.853800062752794,0.386492766091965,0.612501450686249,0.946370705779969,0.213222258118428,0.527307319769485,0.987492725711218
3143,0.176390597402913,0.831512366524031,0.20676176364452,0.669753471567844,0.686974300480385,0.942337948070334,0.498446639207757,0.999890395067961
3062,0.793688411104905,0.83117954733741,0.552639661671272,0.417778541201468,0.932411279664177,0.18053708460294,0.805780084750399,0.471347744787245
18498,0.0944430326381194,0.778452248903647,0.547490652932715,0.547377052827375,0.417829408393014,0.886016290882401,0.578272973184681,0.681504143813865
14724,0.78247539439252,0.69996272185225,0.505536615992282,0.503421838187508,0.788476995390643,0.295023393045273,0.481975526362363,0.710921746115104
14090,0.211178675930552,0.943586714582958,0.386249457103214,0.758377624368135,0.569385233495338,0.384634354088725,0.78971161699471,0.0333547657905286
14076,0.568994910967311,0.729023034886075,0.704669262416389,0.511976742407453,0.24988000359823,0.905233006450115,0.0930748599559462,0.775121928684134
8988,0.390714481461959,0.768239759249408,0.284088534219596,0.550452782964719,0.629682730803643,0.0959583043700175,0.990271851143745,0.971540230318844
11917,0.777565622789521,0.727616935314193,0.591714566994752,0.523523353150441,0.461846127957153,0.4971406947454,0.219535827990921,0.880979190487507
16366,0.33275256509335,0.70115378228867,0.331375363922621,0.717110191284364,0.815600837164084,0.643554019711643,0.0271083356305216,0.874165352029902
8780,0.00663639640813482,0.831307992941076,0.181532347050226,0.675080274261477,0.836881622568254,0.74255958412187,0.793954015939088,0.946827686074707
16968,0.645523799700635,0.84932689848558,0.647242723589387,0.450335296117629,0.955040722637311,0.997452718764109,0.187292206932544,0.83439031059149
23600,0.208859325045874,0.666918872945383,0.223623141962137,0.798545076989055,0.494203415765214,0.909321331446328,0.371371308829206,0.28265219247407
484,0.389751676041496,0.931462569564515,0.400809959287937,0.524241814876393,0.261429791917311,0.0396812779570656,0.925140549733803,0.834665760948804
19217,0.232332724084738,0.902488901215516,0.00429964185880145,0.643136661380607,0.326297640300541,0.986240727824566,0.870289999774908,0.799830898386294
101,0.617168174228642,0.980340207257965,0.263629852280384,0.521112247680521,0.126754737020569,0.495813483681392,0.951863166260288,0.920979117814746
1138,0.000267961860686055,0.708200705578113,0.0506210450441369,0.907462512125813,0.365665807058148,0.905741541711922,0.807192470551674,0.237585518920794
3863,0.767497958484639,0.738111624081772,0.514641589990319,0.363676141103204,0.989696240510632,0.101558968993519,0.986924602594184,0.971597995529188
6674,0.367599502481205,0.933301108611375,0.625525012519406,0.529391987074939,0.651077425307792,0.592205002569767,0.339338797302759,0.514609351281537
8251,0.0520318688019405,0.923981585793027,0.0394943700332529,0.864751183435101,0.347328225467506,0.456831570466095,0.149778282832428,0.366312525583111
14045,0.415813217290439,0.949943239964876,0.0280072328321547,0.792865329022549,0.0476395555148688,0.414075566232479,0.622713222812243,0.285097619625825
10451,0.216114235794932,0.914697667996574,0.427254761097135,0.618933998969875,0.759143151401684,0.253031225458857,0.857594484140075,0.538173813561908
23981,0.219672165326248,0.978652124213974,0.163099427384068,0.741042925348278,0.443147801821585,0.904845381509632,0.112250203288632,0.449177186842377
1617,0.911387506456544,0.920597947267803,0.666858135451953,0.33303609007423,0.161658675736672,0.285314231281703,0.82787901366448,0.735429135488573
6014,0.254874043169565,0.897648995610106,0.00984739280227244,0.870077412470066,0.210351410948126,0.332556594555577,0.280775321883303,0.0698529176086142
991,0.141064620352422,0.995306917055294,0.269683383401758,0.668615330066752,0.896779347238487,0.823664870687112,0.396149778605506,0.474206430439155
